Vessel Name,IMO Number,Source
JANG GYONG,8203933,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KUM SONG 3,8661850,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KUM SONG 5,8661719,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KUM SONG 7,8739396,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KUM UN SAN 3,8705539,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
RAK RANG,7506118,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PU HUNG 1,8703933,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
RUNG RA DO,8989795,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
YANG GAK DO,6401828,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
RUNG RA 1,8713457,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
RUNG RA 2,9020534,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KANG SONG 1,6908096,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KU BONG RYONG,8983404,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
RYE SONG GANG 1,7389704,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SO BAEK SAN,8658267,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
THEODOROS,6421660,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PROGRES,8023670,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MARIE DE LOURDES,8688171,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MARIE DE LOURDES I,8688183,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MARIE DE LOURDES V,9809277,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ZEUS,8799619,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GOO RYONG,8201870,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HWA SONG,8217685,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
